bloc
blocs
blocus
bobo
bobos
bobs
bols
boom
booms
bosco
boscos
boss
bossu
bossus
boubou
boubous
bouc
boucs
boum
bous
busc
buscs
clos
clou
clous
club
clubs
cobol
coco
cocos
cocu
cocus
cols
cool
cosmos
cossu
cossus
coucou
coucous
coulomb
coulombs
cous
couscous
cousu
cousus
culs
cumul
cumuls
cumulus
lobs
lolo
lolos
loulou
loulous
lulu
lulus
moco
mocos
mollo
molluscum
molluscums
mols
moulu
moulus
mous
moussu
moussus
mucus
musc
muscs
obus
occlu
occlus
oculus
ossu
ossus
scull
sculls
socs
solo
solos
sols
soul
souls
sous
sucs
summum
summums
