clic
coco
cocorico
cool
cric
cricri
croc
film
flic
floc
folio
forci
forcir
formol
fric
froc
illico
licol
loir
lolo
lori
micro
microfilm
mimi
mirliflor
miro
miroir
moco
molli
mollir
mollo
morfil
morio
offrir
olim
orfroi
rififi
rifloir
rococo
