asse
asses
assez
aveu
avez
avoua
avouas
avouasse
avouasses
avoue
avoue
avouee
avouees
avoues
avoues
avouez
esse
esses
eues
eusse
eusses
evasa
evasas
evasasse
evasasses
evase
evase
evasee
evasees
evases
evases
evasez
oeuve
oeuvee
oeuvees
oeuves
osas
osasse
osasses
osee
osees
oses
oses
osez
osseuse
osseuses
ossu
ossue
ossues
ossus
oves
sassa
sassas
sassasse
sassasses
sasse
sasse
sassee
sassees
sasses
sasses
sasseuse
sasseuses
sassez
sauva
sauvas
sauvasse
sauvasses
sauve
sauve
sauvee
sauvees
sauves
sauves
sauvez
savez
seau
seve
seves
soue
soues
sous
suas
suasse
suasses
suave
suaves
suee
suees
sues
sues
suez
susse
susses
usas
usasse
usasses
usee
usees
uses
uses
usez
uvee
uvees
vase
vases
vaseuse
vaseuses
veau
vessa
vessas
vessasse
vessasses
vesse
vesse
vesses
vessez
veuve
veuves
voeu
voua
vouas
vouasse
vouasses
voue
voue
vouee
vouees
voues
voues
vouez
vous
vousseau
vues
zazou
zazous
zees
zoos
zouave
zouaves
zozo
zozos
