dodo
dodos
dodu
dodus
dols
dors
doum
doums
douro
douros
drus
duos
durs
lods
lolo
lolos
lord
lords
lors
loulou
loulous
lourd
lourds
lulu
lulus
modulor
modulors
modus
mollo
mols
mord
mords
mordu
mordus
moud
mouds
moulu
moulus
mourus
mous
moussu
moussus
murs
murs
ordo
ossu
ossus
ourdou
ours
roudoudou
roudoudous
solo
solos
sols
sors
soul
souls
sourd
sourds
sous
summum
summums
surdos
suros
surs
surs
urus
