algol
alla
allo
alloua
alluma
alun
aluna
amalgama
anal
analogon
angon
annal
annula
anomal
anon
anonna
gaga
gagman
gagna
gala
galgal
gallo
gallon
galon
galonna
gang
ganga
gaula
glana
glouglou
gluau
gnangnan
gnomon
gnon
gnou
goal
goglu
gogo
gomma
gong
goulag
goulu
goum
guano
lagon
lama
logo
lolo
long
loua
loulou
lulu
magma
magna
magnum
malaga
maman
mana
mollo
mongol
mono
monologua
moula
moulu
mulon
nana
nanan
nomma
noua
nounou
onglon
ulula
unau
