joujou
joujoux
jouons
joutons
jouxtons
jutons
notons
nounou
nounous
nouons
nous
nuons
osons
ossu
ossus
otons
oust
sonnons
sono
sonos
sons
sont
sots
sous
stout
stouts
suons
tonnons
tons
tonton
tontons
tonus
toto
toton
totons
totos
touons
tous
toussons
toussotons
tout
toutou
toutous
touts
toux
tuons
tutu
tutus
usons
