fini
finir
finis
finit
finit
fins
fris
frit
frit
fruit
fruits
fuir
fuis
fuit
fuit
funin
funins
furtif
furtifs
futs
futur
futurs
infini
infinis
infinitif
infinitifs
infus
institut
instituts
instruis
instruisis
instruisit
instruisit
instruit
instruits
insu
inti
intis
intrus
intuitif
intuitifs
inuit
iris
iritis
issu
issus
nifs
nuis
nuisis
nuisit
nuisit
nuit
nuits
nutritif
nutritifs
rififi
rififis
rift
rifts
ruts
sinus
sirs
sniff
suffis
suffit
suffit
suffits
suif
suifs
suint
suints
suis
suit
surf
surfin
surfins
surfis
surfit
surfit
surfs
suri
surin
surins
surir
suris
surit
surit
surs
surs
sursis
sursit
sursit
tifs
tins
tint
tint
tintin
tintins
tirs
tissu
tissus
titi
titis
trin
trins
tris
trust
trusts
tufs
turf
turfs
tutti
tutu
tutus
unir
unis
unit
unit
unitif
unitifs
urus
usufruit
usufruits
