circuit
coco
cocorico
cocu
coit
commit
commit
coti
cotir
cotit
cotit
coucou
couic
cour
courir
court
couru
courut
courut
cout
cric
cricri
croc
croit
croit
crut
crut
cuir
cuit
curium
itou
micro
microcircuit
mimi
miro
miroir
moco
moiti
moitir
moitit
moitit
morio
mort
moto
mourir
mouroir
mourut
mourut
mout
mucor
muri
murir
murit
murit
octroi
octuor
omit
omit
ouir
ouit
rococo
rocou
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
roumi
tiroir
titi
toit
torii
tort
toto
tour
tout
toutim
toutou
tricot
trio
tritium
troc
trot
trottoir
trou
truc
turc
turco
tutti
tutu
