mono
monos
mouron
mouronnons
mourons
mourrons
mourus
mous
mousson
moussons
moussu
moussus
mouvons
mouvrons
muons
murmurons
murons
murs
murs
musons
mussons
nommons
noms
nounou
nounous
nouons
nous
novons
nuons
ornons
osons
ossu
ossus
ours
ourson
oursons
ouvrons
ronron
ronronnons
ronrons
rosons
rossons
rouons
rouvrons
rouvru
rouvrus
ruons
rusons
sommons
sonnons
sono
sonos
sons
sors
sous
summum
summums
suons
surnom
surnommons
surnoms
suros
surs
surs
susurrons
urus
usons
vouons
vous
