iris
issu
issus
kiki
kikis
kirs
koumis
kouros
kriss
kroumir
kroumirs
ksour
mimi
mimis
miro
miroir
miroirs
miros
mirs
miss
mois
moisi
moisir
moisis
morio
morios
mourir
mouroir
mouroirs
mourus
mous
moussoir
moussoirs
moussu
moussus
muri
murir
muris
murs
murs
musoir
musoirs
omis
osmium
osmiums
ossu
ossus
ouir
ouis
ours
rikiki
risorius
rois
rosi
rosir
rosis
roui
rouir
rouis
rouissoir
rouissoirs
roumi
roumis
roussi
roussir
roussis
sirs
sium
siums
skis
soir
soirs
sois
sors
souk
souks
soumis
souri
souris
sous
suis
summum
summums
suri
surir
suris
surmoi
suros
surs
surs
sursis
sursois
urus
