huis
huit
humus
issu
issus
mimi
mimis
miss
muphti
muphtis
must
musts
pipi
pipis
pipit
pipits
psitt
puis
puits
putti
sium
siums
suis
suit
summum
summums
sushi
sushis
tissu
tissus
titi
titis
tupi
tutti
tutu
tutus
