chic
chichi
choc
choir
chou
chouchou
clic
clou
coco
cocorico
cocu
cool
coucou
couic
couloir
cour
courir
couru
cric
cricri
croc
crochu
cuir
hocco
hoir
houri
ichor
illico
licol
licou
loch
loir
lolo
looch
lori
louchi
louchir
loulou
lulu
occlu
ouir
rococo
rocou
rouchi
roui
rouir
rouloir
