gigolo
glouglou
glui
gnomon
gnon
gnou
goglu
gogo
goim
gong
goulu
goum
guignol
guignon
igloo
ilion
immun
inoui
limon
lino
linon
lion
logo
loin
lolo
long
loulou
lulu
lumignon
mignon
million
milouin
mimi
mini
minimum
minium
minou
moignon
moinillon
molli
mollo
mongol
mono
moulin
moulu
mugi
mulon
muni
nounou
oignon
oing
olim
omnium
onglon
union
