dodo
dodos
dois
dols
doris
dormi
dormir
dormis
dors
drill
drills
iris
isoloir
isoloirs
lido
lidos
lissoir
lissoirs
lods
loir
loirs
lois
loisir
loisirs
lolo
lolos
lord
lords
lori
loris
lors
midi
midis
milord
milords
mils
mimi
mimis
miro
miroir
miroirs
miros
mirs
miss
mois
moisi
moisir
moisis
molli
mollir
mollis
mollo
mols
mord
mordis
mords
morio
morios
olim
omis
ordo
ridoir
ridoirs
rodoir
rodoirs
roidi
roidir
roidis
rois
rosi
rosir
rosis
rossolis
silo
silos
sils
simili
similis
similor
similors
sirli
sirlis
sirs
soir
soirs
sois
solo
solos
sols
sors
