divis
drus
durs
duumvir
duumviri
duumvirs
iridium
iridiums
iris
issu
issus
midi
midis
mimi
mimis
mirs
miss
muid
muids
muri
murir
muris
murs
murs
sirs
sium
siums
suis
suivi
suivis
summum
summums
suri
surir
suris
surs
surs
sursis
survis
urus
vidimus
virus
