adjudant
adjudants
ajusta
ajustant
ajustas
ajustat
ananas
antan
anus
assaut
assauts
autant
dada
dadas
dans
dansa
dansant
dansants
dansas
dansat
data
datant
datas
datat
jans
jasa
jasant
jasas
jasat
judas
jusant
jusants
juta
jutant
jutas
jutat
naja
najas
nana
nanan
nanas
natta
nattant
nattas
nattat
nuant
nuas
nuat
sana
sanas
sans
sassa
sassant
sassas
sassat
satana
satanant
satanas
satanat
sauna
saunant
saunas
saunat
saut
sauta
sautant
sautas
sautat
sauts
stand
stands
statua
statuant
statuas
statuat
statut
statuts
suant
suants
suas
suat
sunna
sunnas
tanna
tannant
tannas
tannat
tans
tant
tassa
tassant
tassas
tassat
tata
tata
tatant
tatas
tatas
tatat
tuant
tuants
tuas
tuat
tutu
tutus
unau
unaus
usant
usants
usas
usat
