circuit
coco
cocorico
cocu
coit
coti
cotir
cotit
cotit
coucou
couic
coup
cour
courir
court
couru
courut
courut
cout
cric
cricri
croc
croit
croit
croupi
croupir
croupit
croupit
crut
crut
cuir
cuit
itou
occiput
octroi
octuor
ouir
ouit
output
picot
pioupiou
pipi
pipit
porc
port
porto
portor
pour
pourri
pourrir
pourrit
pourrit
pourtour
priori
prit
prit
proprio
prou
prurit
purot
putti
putto
rococo
rocou
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
tiroir
titi
toit
topo
torii
tort
toto
tour
tout
toutou
tricot
trio
trip
tripot
troc
trop
trot
trottoir
trou
truc
tupi
turc
turco
tutti
tutu
