elle
elles
epee
epees
epele
epelee
epelees
epeles
epelle
epelles
esse
esses
gele
gele
gelee
gelees
geles
geles
gels
gesse
gesses
glyphe
glyphes
gypse
gypses
hele
hele
helee
helees
heles
heles
lege
leges
legs
lese
lese
lesee
lesees
leses
leses
lyse
lyse
lysee
lysees
lyses
lyses
pele
pele
pelee
pelees
peles
peles
pelle
pelles
pepe
pepes
pese
pese
pesee
pesees
peses
peses
pesse
pesses
selle
selle
sellee
sellees
selles
selles
sels
seps
syllepse
syllepses
sylphe
sylphes
