affala
affalas
affama
affamas
alfa
alfas
alla
allas
amas
amassa
amassas
anal
ananas
annal
dada
dadas
dalla
dallas
dama
daman
damans
damas
damassa
damassas
damna
damnas
dans
dansa
dansas
fada
fadas
fana
fanal
fanas
flamand
flamands
flan
flana
flanas
flans
lads
lama
lamas
land
lassa
lassas
maman
mamans
mana
manas
manda
mandas
mans
massa
massas
nana
nanan
nanas
nasal
sala
salas
salsa
salsas
sana
sanas
sans
sassa
sassas
smala
smalas
