dodo
dodu
dormi
dormir
doum
douro
duodi
hoir
homo
hourd
hourdi
hourdir
houri
humour
iridium
midi
mimi
miro
miroir
mord
mordu
morio
moud
mourir
mouroir
muid
muri
murir
oidium
ordo
ouir
ourdi
ourdir
ourdou
rhodium
rhodoid
rhum
ridoir
rodoir
roidi
roidir
roudoudou
roui
rouir
roumi
