itou
ouir
ouit
output
ouvrir
ouvrit
ouvrit
ouvroir
pioupiou
pipi
pipit
pivot
poivrot
port
porto
portor
pour
pourri
pourrir
pourrit
pourrit
pourtour
pourvoi
pourvoir
pourvoit
pourvu
pourvut
pourvut
pouvoir
priori
prit
prit
proprio
prou
provo
prurit
purot
putti
putto
rivoir
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
rouvrir
rouvrit
rouvrit
rouvru
tiroir
titi
toit
topo
torii
tort
toto
tour
tout
toutou
trio
trip
tripot
trop
trot
trottoir
trou
tupi
tutti
tutu
voir
voit
