aida
aidai
andain
andin
dada
daigna
daignai
dandin
dandina
dandinai
dina
dinai
ding
gadin
gaga
gagna
gagnai
gain
gaina
gainai
gandin
gang
ganga
gnangnan
indigna
indignai
kaki
kappa
kidnappa
kidnappai
kidnapping
kiki
nagaika
nain
nana
nanan
nankin
nappa
nappai
niai
nippa
nippai
pagina
paginai
pain
pana
panai
panda
panka
panna
pannai
papa
papi
pian
pidgin
pignada
pipa
pipai
pipi
