agha
ahan
ahana
alla
alun
aluna
anal
annal
annula
baba
bagua
balla
banal
bang
banna
blabla
blablabla
blagua
buna
gaga
gagna
gala
galba
galgal
galhauban
gang
ganga
gaula
glana
gluau
gnangnan
habla
hala
hala
hall
hauban
haubana
hulula
lulu
nabab
nana
nanan
ulula
unau
