cils
clic
clics
clodo
clodos
clos
coco
cocos
cois
colis
cols
comics
commis
cool
cosmos
dico
dicos
disco
discos
dodo
dodos
dois
dolcissimo
dolic
dolics
dols
illico
licol
licols
lido
lidos
lods
lois
lolo
lolos
midi
midis
mils
mimi
mimis
miss
moco
mocos
mois
moisi
moisis
molli
mollis
mollo
mols
olim
omis
silo
silos
sils
simili
similis
socs
sois
solo
solos
sols
