diminutif
duit
fini
finit
finit
fuit
fuit
funin
immun
indium
indu
induit
infini
infinitif
inti
intuitif
inuit
midi
mimi
mini
minimum
minium
minuit
muffin
mufti
muid
muni
munit
munit
mutin
nuit
tint
tint
tintin
titi
tutti
tutu
unit
unit
unitif
