issu
issus
joui
jouis
joujou
kiki
kikis
koumis
mimi
mimis
miss
mois
moisi
moisis
moujik
moujiks
mous
moussu
moussus
omis
osmium
osmiums
ossu
ossus
ouis
sium
siums
skis
sois
souk
souks
soumis
sous
suis
summum
summums
