aboula
albugo
algol
alla
allo
alloua
baba
bagou
bagua
balla
baobab
baux
blabla
blablabla
blagua
bobo
boubou
boula
boxa
gaga
gala
galba
galgal
gallo
gaula
global
globaux
glouglou
gluau
gluaux
goal
goba
goglu
gogo
goulag
goulu
loba
logo
lolo
loua
loulou
lulu
luxa
ulula
