itou
ouir
ouit
output
pioupiou
pipi
pipit
poix
port
porto
portor
pour
pourri
pourrir
pourrit
pourrit
pourtour
poux
priori
prit
prit
prix
proprio
prou
prurit
purot
putti
putto
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
roux
tiroir
titi
toit
topo
torii
tort
toto
tour
tout
toutou
toux
trio
trip
tripot
tripoux
trop
trot
trottoir
trou
tupi
tutti
tutu
