bibi
bobo
boom
boubou
bouc
boum
bourroir
bourru
bric
brio
broc
brou
broum
brrr
brui
bruir
ciborium
coco
cocorico
cocu
coucou
couic
cour
courir
couru
cric
cricri
croc
cuir
curium
imbu
micro
mimi
miro
miroir
moco
morio
mourir
mouroir
mucor
muri
murir
ouir
rococo
rocou
roui
rouir
roumi
urubu
