fistot
fistots
fois
foot
foots
mimi
mimis
miss
mois
moisi
moisis
moisit
moisit
moiti
moitis
moitit
moitit
motif
motifs
moto
motos
mots
oisif
oisifs
omis
omit
omit
sitot
soif
soifs
sois
soit
sots
tifs
titi
titis
toit
toits
toto
totos
vifs
vois
voit
vomi
vomis
vomit
vomit
vomitif
vomitifs
votif
votifs
