aboi
abonna
abonnai
abonni
anion
anon
anonna
anonnai
aubin
baba
babouin
bain
banian
banna
bannai
banni
banqua
banquai
baobab
bibi
bina
binai
biniou
bobina
bobinai
bobo
bonbon
boni
boubou
bouquin
bouquina
bouquinai
bubon
buna
inoui
nabab
nain
nana
nanan
niai
noua
nouai
nouba
nounou
nuai
quai
quinoa
quinquina
quoi
unau
union
