cuit
duit
fictif
fini
finit
finit
fuit
fuit
funin
incuit
indu
inductif
induit
infini
infinitif
inti
intuitif
inuit
nuit
tint
tint
tintin
titi
tutti
tutu
unit
unit
unitif
