assai
assis
assois
assouvi
assouvis
assouvissais
aussi
avais
avis
avisa
avisai
avisais
avisas
aviso
avisos
aviva
avivai
avivais
avivas
avoua
avouai
avouais
avouas
issu
issus
oasis
osai
osais
osas
ossu
ossus
ouais
ouis
quai
quais
quasi
quasis
quassia
quassias
quoi
sais
sais
saisi
saisis
saisissais
saqua
saquai
saquais
saquas
sassa
sassai
sassais
sassas
sauva
sauvai
sauvais
sauvas
savais
sois
souqua
souquai
souquais
souquas
sous
suai
suais
suas
suis
suivais
suivi
suivis
usai
usais
usas
vais
vaqua
vaquai
vaquais
vaquas
vioqui
vioquis
vioquissais
visa
visai
visais
visas
vissa
vissai
vissais
vissas
vivais
vois
voua
vouai
vouais
vouas
vous
