enfeu
enfin
enfui
enfuie
enfuyez
enfuyiez
ennui
ennuie
ennuye
ennuyee
ennuyez
ennuyiez
feue
fiee
fief
fieffe
fieffe
fieffee
fieffez
fieffiez
fieu
fiez
fiiez
fine
fini
finie
fuie
funin
fuyez
fuyiez
infini
infinie
inne
innee
nene
nenni
neuf
niee
niez
nife
niiez
nuee
nuez
nuiez
unie
unifie
unifie
unifiee
unifiez
unifiiez
zinzin
zizi
