antan
apparat
apparu
apparut
apparut
appat
appata
appatant
appatat
apura
apurant
apurat
attrapa
attrapant
attrapat
auparavant
aura
autant
avant
avatar
nana
nanan
nanar
nappa
nappant
nappat
narra
narrant
narrat
natta
nattant
nattat
navra
navrant
navrat
nuant
nuat
pana
panant
panat
panna
pannant
pannat
papa
para
parant
parat
part
partant
paru
parut
parut
pata
patant
patat
patta
pattant
pattat
pattu
patura
paturant
paturat
pava
pavana
pavanant
pavanat
pavant
pavat
puant
puat
puna
purpura
rapa
rapant
rapat
rapt
rata
ratant
ratat
rattrapa
rattrapant
rattrapat
ratura
raturant
raturat
ruant
ruat
tanna
tannant
tannat
tant
tapa
tapant
tapat
tara
tarant
tarat
taratata
tarpan
tartan
tata
tata
tatant
tatat
trantran
trapu
tuant
tuat
tutu
unau
vanna
vannant
vannat
vanta
vantant
vantat
varan
varappa
varappant
varappat
vaut
vautra
vautrant
vautrat
