issu
issus
mimi
mimis
miss
mois
moisi
moisis
mous
moussu
moussus
omis
opium
opiums
opossum
opossums
opus
osmium
osmiums
ossu
ossus
ouis
pioupiou
pioupious
pipi
pipis
pois
puis
puys
sium
siums
sois
soumis
sous
suis
summum
summums
symposium
symposiums
youyou
youyous
