chic
chichi
choc
choir
chou
chouchou
chromo
coco
cocorico
cocu
coucou
couic
cour
courir
couru
cric
cricri
croc
crochu
cuir
curium
hocco
hoir
homo
houri
humour
ichor
micro
mimi
miro
miroir
moco
morio
mouchoir
mourir
mouroir
mucor
muri
murir
ouir
rhum
rococo
rocou
rouchi
roui
rouir
roumi
