chic
chichi
chicot
chiot
choc
choit
chott
chou
chouchou
chut
chut
clic
clot
clou
coco
cocu
coit
colt
cool
coti
cotit
cotit
coucou
couic
cout
coutil
cuit
culot
hocco
huit
illico
ilot
itou
licol
licou
litchi
litho
loch
lolo
looch
loti
lotit
lotit
loto
louchi
louchit
louchit
loulou
luit
lulu
luth
occlu
occlut
occlut
ouit
outil
tilt
titi
toit
tolu
toluol
toto
tout
toutou
tutti
tutu
