bloc
blocs
blocus
bobo
bobos
bobs
boldo
boldos
bolduc
bolducs
bols
bosco
boscos
boss
bossu
bossus
boubou
boubous
bouc
boucs
bous
busc
buscs
clodo
clodos
clos
clou
clous
club
clubs
cobol
coco
cocos
cocu
cocus
cols
cool
cossu
cossus
coucou
coucous
coud
couds
cous
couscous
cousu
cousus
culs
dodo
dodos
dodu
dodus
dols
ducs
duos
lobs
lods
lolo
lolos
loulou
loulous
lulu
lulus
obus
occlu
occlus
oculus
ossu
ossus
scull
sculls
socs
solo
solos
sols
soul
souls
sous
sucs
