huis
humus
immun
immuns
insu
iris
issu
issus
mimi
mimis
mini
minimum
minimums
minis
minium
minus
mirs
miss
muni
munir
munis
muri
murir
muris
murrhin
murrhins
murs
murs
nuis
nuisis
rhum
rhums
rush
rushs
sinus
sirs
sium
siums
suis
summum
summums
suri
surin
surins
surir
suris
surs
surs
sursis
sushi
sushis
unir
unis
urus
