amarra
amarras
amas
amassa
amassas
amoroso
amour
amours
amura
amuras
amusa
amusas
aras
arasa
arasas
arma
armas
arrosa
arrosas
arum
arums
assomma
assommas
assuma
assumas
assura
assuras
aura
auras
avoua
avouas
mamours
marra
marras
mars
massa
massas
mourra
mourras
mourus
mous
moussa
moussas
moussu
moussus
mouva
mouvas
mouvra
mouvras
muas
mura
muras
murmura
murmuras
murs
murs
musa
musas
mussa
mussas
osas
ossu
ossus
ours
ouvra
ouvras
rama
ramarra
ramarras
ramas
ramassa
ramassas
rasa
rasas
rassura
rassuras
rosa
rosas
rossa
rossas
roua
rouas
rouvru
rouvrus
ruas
rusa
rusas
samovar
samovars
saros
sarrau
sarraus
sassa
sassas
saumura
saumuras
saur
saura
sauras
saurs
sauva
sauvas
savoura
savouras
soma
somas
somma
sommas
sors
sous
suas
summum
summums
suros
surs
surs
susurra
susurras
urus
usas
vars
varus
voua
vouas
vous
