bibi
bibis
bobo
bobos
bobs
bois
bord
bords
boss
bossoir
bossoirs
brio
brios
bris
brisis
brrr
divis
dodo
dodos
dois
doris
dors
ibis
iris
ordo
ovibos
ridoir
ridoirs
rivoir
rivoirs
robs
rodoir
rodoirs
roidi
roidir
roidis
rois
rosi
rosir
rosis
sirs
soir
soirs
sois
sors
vibord
vibords
vidoir
vidoirs
voir
vois
