dodo
dodu
dondon
dont
dort
douro
nord
nounou
ordo
ourdou
rond
rondo
ronron
rotor
roudoudou
round
rouvru
tond
tondront
tondu
tonton
tord
tordront
tordu
toron
tort
toto
toton
tour
tourd
touron
tout
toutou
trot
trou
tutu
vont
voudront
