dodo
dodu
dondon
dont
dort
doum
douro
mono
mont
mord
mordront
mordu
mort
moto
moud
moudront
mouron
mourront
mourut
mourut
mout
mouton
nord
nounou
ordo
ourdou
rodomont
rond
rondo
ronron
rotor
roudoudou
round
tond
tondront
tondu
tonton
tord
tordront
tordu
toron
tort
toto
toton
tour
tourd
touron
tout
toutou
trot
trou
tutu
