dispos
dissous
dodo
dodos
dodu
dodus
dois
doum
doums
duodi
duodis
duos
issu
issus
midi
midis
mimi
mimis
miss
modus
mois
moisi
moisis
moud
mouds
mous
moussu
moussus
muid
muids
oidium
oidiums
omis
opium
opiums
opossum
opossums
oppidum
oppidums
opus
osmium
osmiums
ossu
ossus
ouis
pioupiou
pioupious
pipi
pipis
podium
podiums
poids
pois
puis
sium
siums
sodium
sois
soumis
sous
suis
summum
summums
