ciron
coco
cocon
cocorico
cocu
coin
coing
concourir
concouru
concu
congru
coni
conir
connu
cornu
coron
coucou
couic
cour
courir
couru
cric
cricri
crin
croc
cuir
giron
gnon
gnou
gogo
gong
gour
gourou
grignon
grigou
grigri
gringo
grog
grognon
groin
guignon
guru
incongru
inconnu
inoui
noir
noirci
noircir
nounou
nourri
nourrir
oignon
oing
orin
ouigour
ouir
ricin
ring
rococo
rocou
rognon
ronron
rougi
rougir
roui
rouir
rugi
rugir
union
unir
urinoir
