impluvium
impluviums
issu
issus
lippu
lippus
luis
luisis
lulu
lulus
lump
lumps
lupus
mils
mimi
mimis
miss
pilum
pilums
pipi
pipis
plis
plus
puis
pull
pulls
sils
simili
similis
sium
siums
slip
slips
suis
suivi
suivis
summum
summums
vils
