iris
iritis
issu
issus
mimi
mimis
mirs
miss
muri
murir
muris
murit
murit
murs
murs
must
musts
ruts
sirs
sium
siums
suis
suit
summum
summums
suri
surir
suris
surit
surit
surs
surs
sursis
sursit
sursit
tirs
tissu
tissus
titi
titis
tris
trismus
tritium
tritiums
trust
trusts
tutti
tutu
tutus
urus
yttrium
yttriums
