agui
aigu
anaux
annaux
avina
avinai
aviva
avivai
axai
gaga
gagna
gagnai
gain
gaina
gainai
gang
ganga
gava
gavai
gingivaux
gnangnan
guai
guigna
guignai
inguinaux
invagina
invaginai
ixia
nain
nana
nanan
navaux
navigua
naviguai
niai
nivaux
nuai
unau
uvaux
vagi
vagin
vaginaux
vagua
vaguai
vain
vanna
vannai
vaux
vina
vinai
