dito
dodo
doit
dormi
dormir
dormit
dormit
dormitif
dort
dortoir
droit
foot
forfit
forfit
fort
fortiori
frit
frit
froid
froidi
froidir
froidit
froidit
frottoir
idiot
midi
mimi
miro
miroir
moiti
moitir
moitit
moitit
mord
mordit
mordit
morio
mort
motif
moto
offrir
offrit
offrit
omit
omit
ordo
orfroi
ridoir
rififi
rift
rodoir
roidi
roidir
roidit
roidit
roti
rotir
rotit
rotit
rotor
tiroir
titi
toit
tord
tordit
tordit
tordoir
torii
tort
toto
tridi
trio
trot
trottoir
