apparat
apparats
apparaux
apparu
apparus
apparut
apparut
appas
appat
appata
appatas
appatat
appats
apura
apuras
apurat
aras
arasa
arasas
arasat
arts
assaut
assauts
assura
assuras
assurat
astraux
attrapa
attrapas
attrapat
aura
auras
austraux
axas
axat
papa
papas
papaux
para
paras
parastataux
parat
pars
part
parts
paru
parus
parut
parut
passa
passas
passat
pata
patas
patat
patatras
patta
pattas
pattat
pattu
pattus
patura
paturas
paturat
pausa
pausas
pausat
puas
puat
purpura
purpuras
purs
rapa
rapas
rapat
rapt
rapts
rasa
rasas
rasat
rassura
rassuras
rassurat
rasta
rastas
rata
ratas
ratat
rats
rattrapa
rattrapas
rattrapat
ratura
raturas
raturat
ruas
ruat
ruraux
rusa
rusas
rusat
ruts
sapa
sapas
sapat
sarrau
sarraus
sassa
sassas
sassat
satura
saturas
saturat
saur
saura
sauras
saurat
saurs
saut
sauta
sautas
sautat
sauts
spart
sparts
sprat
sprats
star
stars
statua
statuas
statuat
statut
statuts
stras
strass
stratus
suas
suat
suppura
suppuras
suppurat
supputa
supputas
supputat
supra
surpassa
surpassas
surpassat
surs
surs
sursatura
sursaturas
sursaturat
sursaut
sursauta
sursautas
sursautat
sursauts
surtaux
surtaxa
surtaxas
surtaxat
susurra
susurras
susurrat
sutra
sutras
sutura
suturas
suturat
suturaux
tapa
tapas
tapat
tara
taras
tarat
taratata
tarsaux
tassa
tassas
tassat
tata
tata
tatas
tatas
tatat
taux
taxa
taxas
taxat
trapu
trapus
trust
trusta
trustas
trustat
trusts
tsar
tsars
tuas
tuat
tutu
tutus
upas
urus
usas
usat
usurpa
usurpas
usurpat
