clot
clou
coco
cocu
colt
complot
complu
complut
complut
comput
cool
coucou
coup
cout
culot
cumul
lolo
loto
loulou
loup
lulu
lump
moco
mollo
moto
moult
moulu
moulut
moulut
mout
mulot
occlu
occlut
occlut
output
ploc
plot
plouc
plut
plut
plutot
polo
pool
populo
poulot
pull
putto
tolu
toluol
topo
toto
tout
toutou
tutu
