additif
additifs
affadi
affadis
affadissais
affadissait
affadit
affadit
affaissa
affaissai
affaissais
affaissait
affaissas
affaissat
affut
affuta
affutai
affutais
affutait
affutas
affutat
affuts
aida
aidai
aidais
aidait
aidas
aidat
assai
assaut
assauts
assidu
assidus
assis
assista
assistai
assistais
assistait
assistas
assistat
assit
assit
asti
astis
attifa
attifai
attifais
attifait
attifas
attifat
attisa
attisai
attisais
attisait
attisas
attisat
audit
auditif
auditifs
audits
aussi
dada
dadais
dadas
dais
data
datai
datais
datait
datas
datat
datif
datifs
diffa
diffas
diffus
diffusa
diffusai
diffusais
diffusait
diffusas
diffusat
disais
disait
dissuada
dissuadai
dissuadais
dissuadait
dissuadas
dissuadat
dissuasif
dissuasifs
dits
duit
duits
fada
fadai
fadais
fadait
fadas
fadat
fais
faisais
faisait
fait
faits
fats
faussa
faussai
faussais
faussait
faussas
faussat
faut
fauta
fautai
fautais
fautait
fautas
fautat
fautif
fautifs
fiai
fiais
fiait
fias
fiat
fiat
fuis
fuit
fuit
fusa
fusai
fusais
fusait
fusas
fusat
futs
isatis
issu
issus
sais
sais
saisi
saisis
saisissais
saisissait
saisit
saisit
sait
sassa
sassai
sassais
sassait
sassas
sassat
sati
satis
satisfais
satisfaisais
satisfaisait
satisfait
satisfaits
satisfis
satisfit
satisfit
sauf
saut
sauta
sautai
sautais
sautait
sautas
sautat
sauts
situa
situai
situais
situait
situas
situat
stadia
stadias
staff
staffa
staffai
staffais
staffait
staffas
staffat
staffs
statif
statifs
statua
statuai
statuais
statuait
statuas
statuat
statufia
statufiai
statufiais
statufiait
statufias
statufiat
statut
statuts
suai
suais
suait
suas
suat
suffis
suffisais
suffisait
suffit
suffit
suffits
suif
suifa
suifai
suifais
suifait
suifas
suifat
suiffa
suiffai
suiffais
suiffait
suiffas
suiffat
suifs
suis
suit
susdit
susdits
tafia
tafias
taiaut
tais
taisais
taisait
tait
tassa
tassai
tassais
tassait
tassas
tassat
tata
tata
tatai
tatais
tatait
tatas
tatas
tatat
taudis
tifs
tisa
tisai
tisais
tisait
tisas
tisat
tissa
tissai
tissais
tissait
tissas
tissat
tissu
tissus
titi
titis
tuai
tuais
tuait
tuas
tuat
tufs
tutti
tutu
tutus
usai
usais
usait
usas
usat
