impur
mimi
miro
miroir
morio
mourir
mouroir
mouvoir
muri
murir
opium
ouir
ouvrir
ouvroir
pioupiou
pipi
pour
pourri
pourrir
pourvoi
pourvoir
pourvu
pouvoir
primo
priori
promo
promouvoir
promu
proprio
prou
provo
rivoir
rompu
roui
rouir
roumi
rouvrir
rouvru
voir
vomi
vomir
