clic
clot
coco
coit
colt
commit
commit
cool
coti
cotit
cotit
fictif
film
flic
floc
flot
folio
foliot
foot
illico
ilot
licol
lift
locomotif
loft
lolo
loti
lotit
lotit
loto
mimi
moco
moiti
moitit
moitit
molli
mollit
mollit
mollo
motif
moto
olim
omit
omit
tilt
titi
toit
toto
