hoir
homo
houri
huit
humour
itou
mimi
miro
miroir
moiti
moitir
moitit
moitit
morio
mort
moto
mourir
mouroir
mourut
mourut
mout
muri
murir
murit
murit
omit
omit
ouir
ouit
rhum
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
roumi
thorium
tiroir
titi
toit
torii
tort
toto
tour
tout
toutim
toutou
trio
tritium
trot
trottoir
trou
tutti
tutu
