affaissa
affaissai
affaissais
affaissait
affaissas
affaissat
affrita
affritai
affritais
affritait
affritas
affritat
afro
aira
airai
airais
airait
airas
airat
airs
aras
arasa
arasai
arasais
arasait
arasas
arasat
aria
arias
arioso
ariosos
arisa
arisai
arisais
arisait
arisas
arisat
arrisa
arrisai
arrisais
arrisait
arrisas
arrisat
arrosa
arrosai
arrosais
arrosait
arrosas
arrosat
arrosoir
arrosoirs
arts
assai
assis
assista
assistai
assistais
assistait
assistas
assistat
assit
assit
assoira
assoirai
assoirais
assoirait
assoiras
assois
assoit
assorti
assortir
assortira
assortirai
assortirais
assortirait
assortiras
assortis
assortissais
assortissait
assortit
assortit
asti
astis
attifa
attifai
attifais
attifait
attifas
attifat
attira
attirai
attirais
attirait
attiras
attirat
attisa
attisai
attisais
attisait
attisas
attisat
attitra
attitrai
attitrais
attitrait
attitras
attitrat
attrait
attraits
attrista
attristai
attristais
attristait
attristas
attristat
fafiot
fafiots
fais
faisais
faisait
fait
faits
faro
faros
fars
fart
farta
fartai
fartais
fartait
fartas
fartat
farts
fatras
fats
fiai
fiais
fiait
fias
fiat
fiat
fistot
fistots
foira
foirai
foirais
foirait
foiras
foirat
fois
foot
foots
fora
forai
forais
forait
foras
forat
forfais
forfaisais
forfaisait
forfait
forfaits
forfis
forfit
forfit
fors
fort
fortifia
fortifiai
fortifiais
fortifiait
fortifias
fortifiat
fortiori
fortrait
fortraits
forts
fossoir
fossoirs
frai
frais
fraisa
fraisai
fraisais
fraisait
fraisas
fraisat
frira
frirai
frirais
frirait
friras
fris
frisa
frisai
frisais
frisait
frisas
frisat
frisotta
frisottai
frisottais
frisottait
frisottas
frisottat
frisottis
frit
frit
fritta
frittai
frittais
frittait
frittas
frittat
froissa
froissai
froissais
froissait
froissas
froissat
frotta
frottai
frottais
frottait
frottas
frottat
frottis
frottoir
frottoirs
iota
irai
irais
irait
iras
iris
irisa
irisai
irisais
irisait
irisas
irisat
iritis
irrita
irritai
irritais
irritait
irritas
irritat
irritatif
irritatifs
isatis
oasis
offrais
offrait
offrir
offrira
offrirai
offrirais
offrirait
offriras
offris
offrit
offrit
oisif
oisifs
oratorio
oratorios
orfroi
orfrois
osai
osais
osait
osas
osat
ossifia
ossifiai
ossifiais
ossifiait
ossifias
ossifiat
otai
otais
otait
otas
otat
rafiot
rafiots
raia
raias
raifort
raiforts
rais
rasa
rasai
rasais
rasait
rasas
rasat
rasoir
rasoirs
rassasia
rassasiai
rassasiais
rassasiait
rassasias
rassasiat
rassis
