dits
duit
duits
indu
induis
induisis
induisit
induisit
induit
induits
indult
indults
indus
institut
instituts
insu
inti
intis
inuit
issu
issus
lits
luis
luisis
luisit
luisit
luit
luits
lulu
lulus
lundi
lundis
lusin
lusins
lutin
lutins
nids
nuis
nuisis
nuisit
nuisit
nuit
nuits
nuls
sils
sinus
suint
suints
suis
suit
susdit
susdits
tilt
tilts
tins
tint
tint
tintin
tintins
tissu
tissus
titi
titis
tutti
tutu
tutus
unis
unit
unit
