lolo
lolos
lors
loto
lotos
lots
lotus
loulou
loulous
lulu
lulus
mollo
mols
mort
morts
moto
motos
mots
motus
moult
moulu
moulus
moulut
moulut
mourus
mourut
mourut
mous
moussu
moussus
mout
mouts
mulot
mulots
murs
murs
must
musts
ossu
ossus
ours
oust
rotor
rotors
rots
rots
ruts
smolt
smolts
solo
solos
sols
sors
sort
sorts
sots
soul
soulot
soulots
souls
sous
stout
stouts
summum
summums
surmulot
surmulots
suros
surs
surs
surtout
tolu
toluol
toluols
tolus
tors
tort
torts
toto
totos
tour
tours
tous
tout
toutou
toutous
touts
troll
trolls
trot
trots
trou
trous
trullo
trust
trusts
tumulus
turlututu
tussor
tussors
tutu
tutus
urus
