adjuvat
adjuvats
ajusta
ajustas
ajustat
assaut
assauts
dada
dadas
data
datas
datat
jasa
jasas
jasat
java
javas
judas
juta
jutas
jutat
sassa
sassas
sassat
saut
sauta
sautas
sautat
sauts
sauva
sauvas
sauvat
statua
statuas
statuat
statut
statuts
suas
suat
tassa
tassas
tassat
tata
tata
tatas
tatas
tatat
tuas
tuat
tutu
tutus
usas
usat
vaut
