agio
agui
aigu
angon
anion
anon
anonna
anonnai
gaga
gagna
gagnai
gain
gaina
gainai
gang
ganga
gnangnan
gnon
gnou
gogo
gong
goujon
goujonna
goujonnai
guai
guano
guigna
guignai
guignon
inoui
jain
jaina
jauni
jogging
joua
jouai
joug
joui
joujou
juin
nain
naja
nana
nanan
niai
noua
nouai
nounou
nuai
oignon
oing
unau
union
