ados
adossa
adossas
aldol
aldols
alla
allas
allo
amas
amassa
amassas
appas
apposa
apposas
assola
assolas
assomma
assommas
dada
dadas
dalla
dallas
dama
damas
damassa
damassas
dodo
dodos
dola
dolas
dols
dopa
dopas
dosa
dosas
lads
lama
lamas
lampa
lampas
lapa
lapas
laps
lassa
lassas
lasso
lassos
lods
lolo
lolos
madapolam
madapolams
massa
massas
modal
mollo
mols
opposa
opposas
osas
palma
palmas
palpa
palpas
pals
pama
pamas
pampa
pampas
papa
papal
papas
passa
passas
plasma
plasmas
polo
polos
pomma
pommada
pommadas
pommas
pompa
pompas
pool
pools
posa
posada
posadas
posas
psoas
sala
salas
salol
salols
salop
salopa
salopas
salops
salsa
salsas
sapa
sapas
sassa
sassas
slalom
slaloma
slalomas
slaloms
sloop
sloops
smala
smalas
soda
sodas
solda
soldas
solo
solos
sols
soma
somas
somma
sommas
