amarra
amour
amura
apparu
approuva
apura
arma
arum
aura
avoua
marra
mourra
mouva
mouvra
mura
murmura
ouvra
pama
pampa
papa
para
paru
pauma
pava
pomma
pompa
pour
pourpra
pourra
pourvu
promo
promouvra
promu
prou
prouva
provo
puma
purpura
rama
ramarra
rampa
rapa
rompra
rompu
roua
rouvru
vamp
vampa
varappa
voua
