circuit
coco
cocorico
cocu
coit
coti
cotir
cotit
cotit
coucou
couic
cour
courir
court
couru
courut
courut
cout
couvrir
couvrit
couvrit
couvru
cric
cricri
croc
croit
croit
crut
crut
cuir
cuit
itou
octroi
octuor
ouir
ouit
ouvrir
ouvrit
ouvrit
ouvroir
rivoir
rococo
rocou
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
rouvrir
rouvrit
rouvrit
rouvru
tiroir
titi
toit
torii
tort
toto
tour
tout
toutou
tricot
trio
troc
trot
trottoir
trou
truc
turc
turco
tutti
tutu
vioc
voici
voir
voit
